,lr_coef,rf_importance
BTN3A2,-0.0010330441289537653,0.0
SQSTM1,-0.004156850204176496,0.0
FOXO3,0.001289317768015542,0.0
abParts,-0.0038175710902429954,0.007637036559619554
SLC1A4,0.0013589400725419767,0.0
SAT1,-0.004601910294327424,0.0031095563329446396
RHEB,-0.0006899858625965768,0.0
PPP1CC,0.0018578627277540344,0.0
SDF2L1,0.00023024913907169854,0.0
GATC,-0.002080387748164056,0.0
NAP1L1,0.00045434822630954904,0.0
YWHAQ,0.0011336968352473483,0.0
GNG5,-0.002834198876202889,0.0
COPA,-0.001689017258335885,0.0
BRD2,0.0007696771149096644,0.0
ANAPC13,-0.002091944884252013,0.0
VCP,-0.0035079967059718706,0.0
USO1,-0.003833380627979273,0.0
SEC31A,-0.004005956438386604,0.000284813091408763
MIR6890,0.003155664374923337,0.0011453815261044176
ASAH1,-0.0017702800447344485,0.0
GTF3A,-0.0017141614965310006,0.0004812991340141033
PNPLA2,0.00038682592635959335,0.0
EMC7,0.0033376878789036727,0.001931230442521275
ATP6AP1,-0.001990727224872967,0.00015589743589743596
LMBRD1,0.0008063925040458366,0.0
CITED2,-0.0025001798937368874,0.0
TXNL4A,-0.0006774984160436408,0.0
COX6B1,0.0033448977490035453,0.0013813953488372092
CD47,0.004337772746964204,0.0
IGHM,-0.0033649896577985852,0.003425879043600563
ANAPC5,0.0003067499371364452,0.0
TBC1D9,-0.0015886188193307347,0.0
TTC3,-0.003954324630117657,0.0
ACADVL,-0.0032291202761713534,0.0
MYL12A,0.005728626461028216,0.00023054431163388724
ST13,-0.000776659639905777,0.0
TMCO1,0.0038771595760860793,0.0
COPE,0.0017244157698581548,0.0
CCNC,-0.0014999109205241336,0.0
EIF2S2,0.0012608647297155779,0.0
AP3S1,-0.00214179498620418,0.0
EIF4H,-0.0005039678460654307,0.0
PHF1,-0.0004007857984308843,0.0
HMGN4,-0.0035950976128186624,0.0
VPS51,0.0022485721507105546,0.0
ALG5,-0.0009693779812242377,0.0
TIMP1,-0.0007205183265561488,0.0
CCT4,0.0016689846959260107,0.0
PGAM1,0.0026998263719042385,0.0
UBE2E1,-0.0005161277868321948,0.0
TMEM243,-0.0005270484757187133,0.0
AFTPH,-0.0005800329613170837,0.0
EDF1,0.0016510776635193214,0.0
SON,0.0008570806642375357,4.6124501473903236e-05
RHOQ,0.0014990510725725738,0.0
SPAG4,-0.001153011984087338,0.0
SURF1,0.0024083060450746777,0.0
MAPKAPK2,0.0015923910861271547,0.0
TAX1BP1,0.001447470051143827,0.0
XRCC6,0.0030942790798933507,0.0
AP3D1,-0.001157109686057613,0.0
UCP2,0.0009233740226538762,0.0
SND1,0.0018915627313726897,0.0
SEC11A,0.0020019313404201285,0.0
HSD17B12,0.005076373717387658,0.0
STARD7,-0.0011674263398346366,0.0
CXXC1,-0.0005148091768421398,0.0
RRBP1,-0.0009125826198000142,0.0
E2F4,0.00012625088171465588,0.0
GUSB,-0.00017076182292768158,0.0
ENO1,0.0005180034276313923,0.0
COPB1,-0.0008085625816213343,0.0
LAPTM5,-0.0006930364850549866,0.0005388513188062347
N4BP1,-0.0011644462690006436,0.0
TXNL1,0.0016497577424507259,0.0002987124970470116
HNRNPDL,0.0002976173067247251,0.0
NHP2,0.0009920636540710268,0.0
KLF6,-0.0019503825043623332,0.00015078204503279536
GOLPH3,0.0021957337555442006,0.0
ZFAND5,0.0014595965267841379,0.0
ATXN10,-0.001412492889198988,0.0
HMGN1,-0.0038537747085638603,0.0
BMP6,0.0002610826331151223,0.0
RPS17P5,0.003474934661316376,0.0
CCPG1,-0.00230342110038397,0.0
VAPA,-0.002082573753620938,0.0
CCT8,0.0033276161210983733,0.0
HNRNPD,0.0017126574336149042,0.0
IGLL5,-0.0041013941999306705,0.010768356997490961
VDAC2,0.0031323234039397664,0.0
SEPT2,-0.0036418839309179537,0.0
RAB8A,0.0002140187007443413,0.0
HNRNPC,0.0018095006208399798,0.0
DDX3X,-0.004585775919949625,0.0
EMP3,-0.00014810744899308826,0.0
C19orf53,0.0027050138260347125,0.0005811764705882351
DDX21,-0.0002972251827504423,0.0
EPOR,-0.0020950175592540075,0.0
EIF3D,0.002755605996999899,0.0
C6orf48,0.0010338259449501515,0.0
MTCH1,-0.0003123021914858126,5.275945852134669e-05
PSMA2,0.0014707017309748777,0.0
PRMT1,0.0016973738804657841,0.0
MAT2B,0.004799807439691106,0.0
AMPD1,-0.0030379255247976068,0.0011146060870831512
KARS,-0.0002591464471965608,0.0
SLC38A10,-0.0010896753076584241,0.00010289696366351418
