,E2F Targets,Myc Targets V1,G2-M Checkpoint,Oxidative Phosphorylation,stage
GSM148974,-0.28987900187262017,-0.1556194884177251,-0.28773562344689046,0.14238853238382007,MM_New
GSM148975,-0.33392291647733385,-0.40639295406667203,-0.20733011251672803,-0.3385276036550506,SMM
GSM148976,-0.5765730669392362,-0.7019859189297025,-0.5145022840636422,-0.3168294824835223,MM_New
GSM148977,0.43428719372151775,-0.28641400030581576,0.39973264006448395,-0.09217694132591768,MGUS
GSM148978,-0.33973353090066555,0.062144239781698404,-0.47131935764036853,-0.013049024579216646,MM_New
GSM148979,-0.13343120614033044,0.3220755332399591,-0.16238859267150507,0.402015391127903,MM_New
GSM148980,0.8277569771316335,0.7052150944882237,0.7669447989140168,0.33020188500472736,MM_Relapse
GSM148981,-0.3389772624219972,0.27462685694835953,-0.2442190558838884,0.3181578721407626,MM_New
GSM148982,-0.7314188074186889,-0.49230542377409625,-0.8419225514468319,-0.3916424477183701,MGUS
GSM148984,-0.842594609746577,-0.7874756705750462,-0.8827164854774903,-0.6455040583147319,SMM
GSM148985,0.031624613584885934,-0.5390689303876208,-0.050697521102804885,-0.3455450934984041,MGUS
GSM148986,0.2867542234661579,0.515170624871096,-0.017677250478273208,0.35605810157611745,MM_New
GSM148987,-0.2364415669806864,0.31665379540776445,-0.23006333828747697,0.9880906984946966,MM_New
GSM148988,-0.35425143531602526,-0.1280928603496768,-0.3003872594139522,0.4469726538754324,MM_New
GSM148989,0.12241066530756879,-0.1313664801834397,0.024941126392191496,0.017114521478602755,MM_New
GSM148990,0.34107633803135334,0.3933050972589331,0.4418366084918976,0.23068656104570612,MM_New
GSM148991,0.14185691462905942,0.5569832481406045,0.3084145740630773,0.2768432744135063,MM_New
GSM148992,0.12478480543199606,0.2848852238991706,0.09326345220636936,0.25421025482055243,MM_New
GSM148993,0.8469906179540071,1.2963002527717173,0.7264023352824432,1.015035931661812,MM_New
GSM148994,-0.315817501514509,0.251459386138162,-0.21946729159234513,0.10702975040633678,SMM
GSM148995,0.7081681284970548,0.6157534723675644,0.6005092104449824,0.19772748522009725,MM_New
GSM148996,-0.36763931856096105,-0.8419831586991704,-0.27724899558366284,-0.665427998605949,Normal_PC
GSM148997,-0.2005283024889304,0.12386984521999886,-0.21977407494781417,0.23115742939415226,MM_New
GSM148998,0.33267790670262465,0.5655546886299097,0.2834166888970503,0.4438380593966864,MM_New
GSM148999,0.47085047881966885,0.14586821337770364,0.4829789651602741,0.27546365083927,MM_New
GSM149000,0.3577892667443282,-0.18551256871368765,0.38041596272297934,-0.06116034114643501,MM_Relapse
GSM149001,0.24102447062955976,0.07479054033429886,0.35262636244451984,0.22747703726674146,MM_Relapse
GSM149002,0.2048447633249078,-0.0698398700823579,0.20330634634589814,-0.21843106636837914,MM_New
GSM149003,-0.47581714308002204,-0.6568810695891039,-0.5092150743075007,-0.7853076153169853,MGUS
GSM149004,-0.6205596194860687,-0.6374462161397871,-0.4541957046385547,-0.444741396835391,MM_New
GSM149005,-0.6040701749634975,-0.10643973318544395,-0.5571567808543099,-0.05810112660117658,MM_New
GSM149006,-0.059284417254233106,0.1749005413677856,-0.25401738167514265,-0.05168122299574217,MM_New
GSM149007,0.2267511482169354,0.1882980784234607,0.25608341673122825,0.13248942720326037,MM_New
GSM149008,0.5923625543168561,0.5158186608089188,0.6617288992535068,0.14873566497658064,MM_New
GSM149009,0.05732525422732233,0.08396537154807526,0.17087227703071686,0.39759564515196294,MM_New
GSM149010,-0.4118191351439665,-0.7672004090864609,-0.3652729443078035,-0.9750012603977181,MM_New
GSM149011,0.04719734545605975,-0.36971463086400763,-0.10133897852566394,-0.22923817376102046,MGUS
GSM149012,0.015579121531299782,0.18254829788734164,0.04759732747667305,0.2073064089127115,MM_Relapse
GSM149013,-0.09077595263580157,-0.6040805346314025,-0.05805556410318668,-0.3325810481581973,MGUS
GSM149014,-0.7777127704567864,-0.6221210612613411,-0.6751305938212924,-0.2505286080456139,SMM
GSM149015,-0.031209675076380554,-0.12239568497899865,0.007754984668283419,-0.2829218712493097,MGUS
GSM149016,-0.32265257056835583,-0.23746625351390474,-0.1361450906329374,-0.23659988657602002,MM_New
GSM149017,-0.35323484033976965,-0.6109734111330745,-0.36064578043655576,-0.5399028402200773,MM_New
GSM149018,-0.14295819793504402,-0.09547665836851703,-0.1594376301727126,-0.13419825034865449,MM_New
GSM149019,1.1942176525909596,1.0548745679216516,1.2428489292969387,0.4148630193798713,MM_New
GSM149020,-0.4707897083937345,0.07314692694047896,-0.5423653306820071,0.10704103802371737,SMM
GSM149021,-0.5300775978604974,0.3541390306635163,-0.39420643808437933,0.24407345735890887,MM_New
GSM149022,-0.613603319325129,-0.6577365632485144,-0.6544177059571394,-0.5727666397837083,MGUS
GSM149023,-0.4529785602649259,-0.5873177723588948,-0.5927415672955918,-0.4374693075250607,MM_Relapse
GSM149024,-0.3749868010221198,-0.28583125105595153,-0.45774425714866973,-0.5755538708372636,SMM
GSM149025,0.5056109338559662,0.03825003354584391,0.38015877139054494,-0.4374812520393572,MM_New
GSM149026,-0.7448673181478028,-0.817170788751332,-0.8525796316839092,-0.5178337122580657,SMM
GSM149027,-0.5100510633424042,-0.671544722972767,-0.5733365447728377,-0.6443856214862275,SMM
GSM149028,0.5988774327001131,-0.3779291553782395,0.5794126785104526,-0.6052694568345999,MM_Relapse
GSM149029,0.03073996198064339,-0.6745195472799188,0.16326073959756782,-0.749668722296124,Normal_PC
GSM149030,0.06247403318324841,-1.2093725752545055,-0.1252455238861028,-1.133880685993046,MM_Relapse
GSM149031,1.1143967109092097,1.3044167126888488,0.9972614651975439,0.7994117490251285,MM_New
GSM149032,0.4295624484556914,0.6231188824793417,0.4835021722355003,0.3797177903907946,MM_Relapse
GSM149033,0.0693905121202212,-0.11444699180505721,0.03175934886196794,-0.2027748440926769,MM_New
GSM149034,0.4110533805453441,0.8858397662618654,0.27850528740891467,0.5853788238889995,MM_Relapse
GSM149036,-0.5824214938787728,-0.3278413041128632,-0.7295791297780247,-0.3319910505708695,SMM
GSM149038,0.17896090200222628,-0.6340073093795624,0.0853686628518687,-0.79031794984228,MM_New
GSM149040,-0.2150728506349083,-0.1266592218182958,-0.025842698989993217,-0.12374601695023103,MM_New
GSM149044,-0.09975250779415291,-0.15451437176489605,-0.19674066042543273,-0.365118574826793,MM_New
GSM149048,-0.23205181291682184,-0.5651980319965945,-0.04229388641446703,-0.5698921277494364,MM_New
GSM149049,0.2097693317380797,-0.03689755989254146,0.191608695888029,0.11828127703708206,MM_New
GSM149050,0.52258434997029,0.285875538535294,0.5581414353172623,0.14213281929833266,MM_New
GSM149051,-0.36855552450178536,0.19627323539118482,-0.46537036177553254,0.44443777427394215,SMM
GSM149052,-0.08210573491100046,0.07383425602277206,-0.23768967835056168,0.050595845335692655,MM_New
GSM149053,-0.57298177676749,-0.262505122800841,-0.6222387028443012,-0.12272296348419545,MGUS
GSM149054,-0.11028817523809027,0.4072815979353384,-0.06078927428455622,0.4917821985161598,MM_New
GSM149055,0.2108997132497876,0.07428749829284273,0.2549323556529215,0.1426287282548413,MM_New
GSM149056,1.4438085548373956,0.8162420467587918,1.4070853291823886,0.4334240822286297,MM_New
GSM149057,-0.1889313464420261,-0.22262023938849398,-0.3692409483329528,-0.09636796541643759,MGUS
GSM149058,-0.3295706099372248,0.2577064999226485,-0.24934839489988245,0.3297913162633945,SMM
GSM149059,0.19559911095820537,-0.034518296714522896,0.10350441003528675,-0.21800813729074636,MM_New
GSM149060,0.596977816659311,0.46019726718864845,0.5390630681976301,0.5898404955470248,MM_Relapse
GSM149061,0.7657034680031879,0.744922565380253,0.9477011253854636,0.32768198917730484,MM_New
GSM149062,-0.5593548903344832,-0.3680791681796057,-0.5452214990087151,-0.3262035996534192,Normal_PC
GSM149063,-0.7796620049532939,-0.6161691630720892,-0.8526502834440933,-0.4267667834591357,Normal_PC
GSM149064,-0.261353599706605,-0.6396417394639977,-0.11827470361253083,-0.38712548056595775,Normal_PC
GSM149065,-0.08177078230268008,-0.3866335413206935,0.07576680829254658,-0.39516172995949883,Normal_PC
GSM149066,-0.4536397926343503,-0.5578712452121622,-0.42259215704335706,-0.3970170889632339,Normal_PC
GSM149067,-0.5247899771184454,-0.6921905996137823,-0.5519111125893411,-0.49915720941373315,Normal_PC
GSM149068,-0.2580823612724456,-0.6527984218305981,-0.21289114929319275,-0.5516028694368047,Normal_PC
GSM149069,-0.41023518583791685,-0.613240723272934,-0.26223401582275685,-0.3752482301445574,Normal_PC
GSM149070,-0.602719770725674,-0.7237849733848206,-0.4948038750261744,-0.5626140713014679,Normal_PC
GSM149071,-0.6269660807701024,-0.5495286109500928,-0.4917782805175418,-0.5130935756607014,Normal_PC
GSM149072,0.3732789557756208,-0.2754042440446184,0.4081959279712415,-0.3054764191928525,Normal_PC
GSM149073,-0.37407023399390743,-0.4794894718038319,-0.19337935792128036,-0.46023635495831017,Normal_PC
