Gene Symbol,log2FC,pval,adj_pval,significant,gran_corr,purity_flag
ANKRD10,-0.6605907825932018,9.736994940114717e-05,0.005239374065947094,False,,False
CAMP,-1.9751662549739883,9.943339709437916e-05,0.00532874444266517,True,0.7503677478947786,True
DTX2,1.5498972725924585,0.00010082122376383522,0.005341142447350592,True,-0.3910157485163197,False
ZPR1,0.5324080433991689,0.00010024444210013281,0.005341142447350592,False,,False
PTCRA,0.6357874944190272,0.00010087524452954959,0.005341142447350592,False,,False
DCAF15,1.345119859461053,0.00010152072160706772,0.005353903553437273,True,-0.36811867381079616,False
MYL12A,0.7122503787318788,0.0001029938588982352,0.005396185747629786,False,,False
DEFA1,-2.266912490328979,0.00010313779513109737,0.005396185747629786,True,0.8928391923851232,True
SLC15A3,-1.8469457889536747,0.00010483965553921513,0.005442205962245454,True,0.3910583615360186,False
MRPL28,0.722623425071399,0.00010482390496145954,0.005442205962245454,False,,False
SPRY2,-1.9166623480137899,0.00010616670391433416,0.005489565077007974,True,0.3046244075914292,False
LMO2,-1.355080972592578,0.00010802090714672838,0.005563707190277212,True,0.6300604184725587,True
TIAL1,-0.5903623577299744,0.00011042873718031372,0.005648271556736577,False,,False
TCTA,0.53470054546613,0.00011051615420372996,0.005648271556736577,False,,False
RP5-1118D24.2,0.7059993969111957,0.00011141746348449734,0.005672434477478044,False,,False
AV8S2A1N1T,2.0979492041326466,0.00011203036900028139,0.005681785419374424,True,-0.2409142059970775,False
HINT1,0.4610847149119497,0.00011294375562550117,0.005703238425186427,False,,False
PHLDA2,1.4496600913053763,0.0001133150793853615,0.005703238425186427,True,-0.2703296315137969,False
TARBP1,-0.8208318756970217,0.00011385701727796628,0.005708808097380454,False,,False
OR7E156P,-1.0560544261318405,0.00011513061673792309,0.005737599968072542,True,0.22997869491645148,False
GIMAP1-GIMAP5,-0.7957499339767313,0.00011529814848585754,0.005737599968072542,False,,False
MIR7114,0.6059714255944559,0.0001166672887406517,0.005783988393483171,False,,False
EXOC1,-0.5653097042007431,0.0001182090022579634,0.005838554339136796,False,,False
CLIC1,0.5308470171895543,0.00012255991063363138,0.006030949951886166,False,,False
PSMB10,0.42074993547356065,0.00012410118302076903,0.006050419807181599,False,,False
FZD6,-1.1395617855504376,0.00012478390929671198,0.006050419807181599,True,0.1064291759385359,False
LOC254896,1.0769205330784342,0.00012461393899100958,0.006050419807181599,True,-0.18443531496207718,False
TMEM176A,-1.7428568468839085,0.0001244689120310701,0.006050419807181599,True,0.4113022112127058,False
EIF4EBP1,1.1566902917710884,0.00012885858437229755,0.006225186428233951,True,-0.17153602040833132,False
CORO1B,-0.4872258169208177,0.0001303493896871033,0.006272696475157623,False,,False
CUL3,-0.3678363107873093,0.000130890887634329,0.006272696475157623,False,,False
RECQL4,0.7464993214703917,0.00013126364913641019,0.006272696475157623,False,,False
ELAVL3,0.9084243137925263,0.00013224158905120165,0.006296697533348043,False,,False
FAM21C,-0.36261896230246826,0.0001331140829459068,0.0063083065076689655,False,,False
GOLGA1,-0.3930269998371685,0.00013343853004059154,0.0063083065076689655,False,,False
SASH1,-0.8884611304909722,0.00013399660545581132,0.006312146143838343,False,,False
RAB36,0.6822637891194816,0.00013485997595192434,0.006330289013034122,False,,False
LOC101930405,-1.608869703644709,0.000136538869701624,0.006363961331832383,True,0.5883446884195447,True
FAM173A,0.4000926898464279,0.00013624164120003792,0.006363961331832383,False,,False
DYNC1H1,0.9737800374527197,0.00013890468212665382,0.006451513253721111,False,,False
PCDHB8,1.3728245471719531,0.00014164736176401648,0.006488508016738985,True,-0.2497777620167554,False
CARKD,-0.5608006058157748,0.00014083383848997058,0.006488508016738985,False,,False
ETV2,1.612339788022327,0.00014095182394641178,0.006488508016738985,True,-0.31895657883322254,False
LOC100293211,-2.2021305933329174,0.00014215209827410334,0.006488508016738985,True,0.6274862874621416,True
HDAC7,1.049151387576698,0.00014214502671236053,0.006488508016738985,True,-0.25627689040587637,False
RPS15,0.47816468420800184,0.00014456254097686803,0.006505878226323843,False,,False
C5orf22,-0.31429932481479916,0.00014353581767030346,0.006505878226323843,False,,False
TREM1,-1.3320789044608832,0.00014499010929708647,0.006505878226323843,True,0.4135639565030045,False
MRPS12,0.5483169900118217,0.00014319388813307767,0.006505878226323843,False,,False
GCLM,-0.947495927190448,0.00014424030027766549,0.006505878226323843,False,,False
SLC22A8,1.1298772354771343,0.00014669117677032977,0.006559969955773159,True,-0.12541204009393736,False
